"","zip","objectid","shape_area","shape_len","Case.Rate...Cumulative","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"130","60610",54,31598157.0867,24208.6988788,1706.9,2018,39019,73.82,14.96,0.28,8.17,0,2.77,6.67,3.84,1845,1279,1261,2997,22220,2072,1635,1734,2205,6029,35454,29425,10.91,64.95,15.45,7.7
"131","60611",38,23506055.7304,34689.3506306,1412.4,2018,32426,74.9,2.75,0.17,17.91,0,4.26,5.25,0.65,892,633,465,2441,16140,1210,1496,2441,2535,7079,30788,23709,8.96,54.48,21.83,7.1
"132","60612",16,106718949.386,42663.1966757,2885.4,2018,34311,27.72,60.48,0.19,4.65,0.16,6.81,12.26,15.57,2385,4253,2569,3295,17535,1682,2028,1861,1431,3136,26151,23015,17.09,70.45,9.14,13.6
"133","60613",53,53990894.8848,31196.3206564,1572.4,2018,50113,81.9,5.79,0.41,6.6,0.02,5.27,11.3,3.42,2555,2633,777,5875,30790,2880,2546,2412,1868,4429,44320,39891,13.27,71.79,8.84,7.2
"134","60614",32,94460631.8068,50587.3473804,1604.3,2018,71308,84.61,4.01,0.03,7.45,0.03,3.87,6.05,2,3908,5030,3288,8317,44016,3816,2769,3001,2589,6179,61384,55205,16.27,74.26,8.67,4.5
"135","60615",8,66565454.8469,38321.3137692,1549.5,2018,41563,30.1,55.22,0.35,8.09,0,6.23,6.19,6.05,2006,3512,2088,5317,21182,2293,2193,2095,2260,6022,34890,28868,17.82,64.24,14.49,12
"136","60616",25,109667069.368,45823.5398375,1544.1,2018,54464,28.77,25.02,0.36,40.5,0,5.36,8.45,17.84,2457,4440,2704,3978,25982,3269,3507,3113,3013,8683,46249,37566,12.27,60.37,15.94,9.5
"137","60617",12,452837422.002,102528.036078,2665.6,2018,82534,38.04,55.8,0.13,0.2,0.02,5.8,37.66,20.75,5105,11917,6704,6207,32533,5409,5468,5157,4154,12791,61197,48406,15.64,60.04,15.5,14.5
"138","60618",24,141235867.545,47847.080382,2381.5,2018,94395,78.77,2.4,0.15,6.17,0.14,12.38,40.42,14.95,6916,11474,3671,5396,46480,6890,5645,4516,3948,8526,73917,65391,9.61,68.72,9.03,6.8
"139","60619",61,167872012.644,53040.9070778,2303.4,2018,61258,1.63,96.08,0.04,0.32,0.03,1.92,1.42,11.64,3911,6949,3278,3930,22295,3406,4167,5148,4972,10410,48254,37844,11.77,54.12,16.99,17.8
"140","60620",59,211696050.967,58466.1602979,2506.8,2018,68096,1.66,96.41,0.08,0.4,0.04,1.42,1.34,14.15,3563,8395,4552,4558,25757,4068,4780,5356,4335,11842,53412,41570,13.38,55.39,17.39,16.3
"141","60621",9,104746821.074,42299.9203908,2647.9,2018,29042,2.58,94.77,0.28,0.26,0,2.12,3.65,22.16,2504,4102,1893,2260,11246,1317,2146,1927,1872,3928,21232,17304,14.3,61.47,13.53,20.1
"142","60622",36,70853834.3797,42527.9896789,2237,2018,52793,78.45,6.73,0.08,4.56,0,10.19,21.93,6.99,3540,3505,1603,3320,34924,2467,2074,1709,1455,3119,44738,41619,9.33,79.5,5.91,5
"143","60623",57,155285532.005,53406.9156168,5210.6,2018,85979,38.38,31.23,0.42,0.09,0.02,29.86,66.14,40.92,6801,15040,7273,6636,38409,5050,4588,4420,3866,7805,59592,51787,16.18,70.08,9.08,10.5
